event,cycle,hartid,id,rd,op,lat,engine_lat
ACCEPT,914,0,2,13,CDFG_DEMO,0,
DISPAT,915,0,2,,,,
DONE,918,0,2,,,,3
RESULT,919,0,2,,,,
ACCEPT,921,0,0,13,CDFG_DEMO,3,
DISPAT,922,0,0,,,,
DONE,946,0,0,,,,24
RESULT,947,0,0,,,,
ACCEPT,949,0,6,13,CDFG_DEMO,1,
DISPAT,950,0,6,,,,
DONE,956,0,6,,,,6
RESULT,957,0,6,,,,
ACCEPT,960,0,7,13,CDFG_DEMO,2,
DISPAT,961,0,7,,,,
DONE,973,0,7,,,,12
RESULT,974,0,7,,,,
ACCEPT,975,0,3,13,DELAY,2,
DISPAT,976,0,3,,,,
DONE,980,0,3,,,,4
ACCEPT,981,0,6,14,CDFG_DEMO,0,
RESULT,981,0,3,,,,
DISPAT,982,0,6,,,,
DONE,985,0,6,,,,3
RESULT,986,0,6,,,,
