event,cycle,hartid,id,rd,op,lat,engine_lat
ACCEPT,896,0,0,13,DELAY,0,
DISPAT,897,0,0,,,,
DONE,898,0,0,,,,1
RESULT,899,0,0,,,,
ACCEPT,903,0,4,13,DELAY,1,
DISPAT,904,0,4,,,,
DONE,906,0,4,,,,2
RESULT,907,0,4,,,,
ACCEPT,909,0,0,13,DELAY,2,
DISPAT,910,0,0,,,,
DONE,914,0,0,,,,4
RESULT,915,0,0,,,,
ACCEPT,927,0,4,13,DELAY,3,
DISPAT,928,0,4,,,,
DONE,936,0,4,,,,8
RESULT,937,0,4,,,,
ACCEPT,938,0,1,13,DELAY,4,
DISPAT,939,0,1,,,,
DONE,955,0,1,,,,16
RESULT,956,0,1,,,,
ACCEPT,957,0,5,13,DELAY,3,
DISPAT,958,0,5,,,,
DONE,966,0,5,,,,8
ACCEPT,967,0,6,14,DELAY,0,
RESULT,967,0,5,,,,
DISPAT,968,0,6,,,,
DONE,969,0,6,,,,1
RESULT,970,0,6,,,,
